Name,Type,Rep (if any),Host,Date,Start Time,End Time,Location Name,Address,City,State,Zip,Notes,Event Link,FB Event ID
"March for Iowa's Teachers
",Rally,,Action Iowa,2017-2-12,14:00,16:00,Iowa State Capital,1007 E Grand Ave,Des Moines,IA,50319,,https://www.facebook.com/events/373424353032673/,373424353032673
House Subcomittee Meets on SF 2,"Hearing
",,Planned Parenthood,2017-2-13,15:30,17:30,Iowa State Capital,1007 E Grand Ave,Des Moines,IA,50319,Discussion on defunding PP,https://www.facebook.com/events/1864029117168419/,1864029117168419
Public Hearing on HSB84/HF291,"Hearing
",,Progress Iowa,2017-2-13,16:30,20:30,Iowa State Capital,1007 E Grand Ave,Des Moines,IA,50319,Hearing on stripping collective bargaining rights,https://www.facebook.com/events/1708675572757852/,1708675572757852
Public Workers Unity Rally,Rally,,Indivisible Iowa,2017-2-13,17:30,18:00,Bayliss Park,599 1st Avenue,Council Bluffs,IA,51503,,https://www.facebook.com/events/183390365477053/,183390365477053
Is Redistricting Polarizing America?,Talk,,The University of Iowa Public Policy Center,2017-2-15,17:30,19:00,Old Capitol Senate Chambers,21 N Clinton St,Iowa City,IA,52242,,https://www.facebook.com/events/241974146254065/,241974146254065
Constituent Coffee,Town Hall,Joni Ernst,Joni Ernst,2017-2-17,11:30,12:30,Betty's Cafe,101 South Lafayette Street,Corydon,IA,50060,CANCELLED,https://www.facebook.com/events/256779648097983/,256779648097983
Veteran's Roundtable,Town Hall,Joni Ernst,Joni Ernst,2017-2-21,13:30,14:30,Maquoketa City Hall City Council,201 East Pleasant Street,Maquoketa,IA,52060,,https://www.facebook.com/events/1922306404722356/,1922306404722356
Joni Ernst Retirement Party,Meeting,,Indivisible Iowa,2017-2-19,15:00,17:00,Boonie's on the Avenue,214 Iowa Avenue,Muscatine,IA,52761,,https://www.facebook.com/events/461061230950087/,461061230950087
Joni Ernst Retirement Party,Meeting,,Indivisible Iowa,2017-2-25,,,,,Sioux City,IA,,Location and Time TBD,https://www.facebook.com/events/771822989635048/,771822989635048
Joni Ernst Retirement Party,Meeting,,Indivisible Iowa,2017-2-25,,,,,Dubuque,IA,,Location and Time TBD,https://www.facebook.com/events/771533349671724/,771533349671724
Joni Ernst Retirement Party,Meeting,,Indivisible Iowa,2017-2-25,,,,,Des Moines,IA,,Location and Time TBD,https://www.facebook.com/events/133635037151280/,133635037151280
Joni Ernst Retirement Party,Meeting,,Indivisible Iowa,2017-2-25,12:00,14:00,Iowa City Public Library,123 South Linn Street,Iowa CIty,IA,52240,,https://www.facebook.com/events/1450532774980893/,1450532774980893
Joni Ernst Retirement Party,Meeting,,Indivisible Iowa,2017-2-25,,,,,Davenport,IA,,Location and Time TBD,https://www.facebook.com/events/241647222950586/,241647222950586
Town Hall,Town Hall,Chuck Grassley,Chuck Grassley,2017-2-21,7:45,8:45,Iowa Falls Fire Department,218 South River Street,Iowa Falls,IA,50126,,https://www.facebook.com/events/891553414280650/,891553414280650
Town Hall,Town Hall,Chuck Grassley,Chuck Grassley,2017-2-21,14:15,15:15,Hancock County Courthouse,855 State Street,Garner,IA,50438,,https://www.facebook.com/events/247001452410966/,247001452410966
Town Hall,Town Hall,Chuck Grassley,Chuck Grassley,2017-2-23,10:00,11:00,Floyd County Courthouse,101 South Main Street,Charles City,IA ,50616,,https://www.facebook.com/events/184112215407840/,184112215407840
Town Hall,Town Hall,Chuck Grassley,Chuck Grassley,2017-2-24,8:00,9:00,Parkersburg Civic Center,502 East 3rd Street,Parkersburg,IA,50665,,https://www.facebook.com/events/1104793036314071/,1104793036314071
Iowa Day on the Hill,Rally,,Planned Parenthood,2017-3-21,9:00,16:00,Plymouth Congressional Church (UCC),4126 Ingersoll Avenu,Des Moines,IA,50312,Requires Tickets,https://www.facebook.com/events/638166926384467/,638166926384467
The Vagina Monologues,Performance,,V-Day Dubuque,2017-02-26,14:00,16:00,The Smokestack,62 E 7th Street,Dubuque,IA,52001,Requires Tickets (can be bought at the door),https://www.facebook.com/events/1738676293112835/,1738676293112835
